|title|description|url
0|"<span class=""myAdTitle"">Kawalerka Geodetów Ochota sprzedaż bezpośrednia. </span>"|"<div class=""description"" data-phone-mask=""false""><span class=""pre"" style=""font-family: inherit; white-space: pre-wrap;""><p>Na sprzedaż piękna kawalerka o powierzchni 24 m2 na ostatnim piętrze 10 piętrowego bloku z oknem wychodzącym na spokojną stronę osiedla. Bardzo dobrze skomunikowane z centrum (tramwaje ,autobusy).</p><p>W pobliżu znajduje się dobra infrastruktura: sklepy, apteka, szkoła, targowisko ( hala Banacha),oraz park szczęśliwicki (5 minut na piechotę).Mieszkanie słoneczne i bardzo ustawne ,budynek po wymianie windy i elektryki w częściach wspólnych.</p><p>Serdecznie zapraszamy do kontaktu.</p></span></div>"|https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/ochota/kawalerka-geodetow-ochota-sprzedaz-bezposrednia/1008991188770912802388809
1|"<span class=""myAdTitle"">Mieszkanie 2 pokojowe  Warszawa, Wola, Ulrychów, Wieluńska  </span>"|"<div class=""description"" data-phone-mask=""false""><span class=""pre"" style=""font-family: inherit; white-space: pre-wrap;"">Mieszkanie dwupokojowe,własnościowe z 1971 r na pierwszym piętrze w bloku 4 piętrowym z ładnym widokiem na podwórko, ciche. Duże podwórko i sporo miejsc 
parkingowych. Salon z aneksem kuchennym 22 mkw, sypialnia 9 mkw, 
łazienka i korytarz. Mieszkanie ma mały balkon z widokiem na 
podwórko.Okna wychodzą na podwórko, mieszkanie jest ciche.W mieszkaniu 
mogą zostać meble na życzenie kupującego.<br/>
<br/>
Mieszkanie odnowione i umeblowane. Do mieszkania przynależy piwnica (4 mkw).<br/>
<br/><br/>Do centrum Warszawy 2 km, blisko metro Młyńska.. Bliska Wola ul.
 Wieluńska. Wokoło zieleń. 4 parki: Sowińskiego, Szymanowskiego. Park 
Moczydło z basenami odkrytymi oraz bazarek Olimpia. Super 
lokalizacja.Dużo zieleni i ścieżek rowerowych.<p><br/></p></span></div>"|https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/wola/mieszkanie-2-pokojowe-warszawa-wola-ulrychow-wielunska/1009010976070912560250409
2|"<span class=""myAdTitle"">Wyjątkowa Inwestycja Na Białołęce </span>"|"<div class=""description"" data-phone-mask=""false""><span class=""pre"" style=""font-family: inherit; white-space: pre-wrap;"">OPIS INWESTYCJI
===============
POWER INVEST ma przyjemność zaprezentować Państwu 3 pokojowe mieszkanie o powierzchni 65,57 m2 z balkonem w nowo powstającej inwestycji.
Przewidziany termin zakończenia budowy to III kwartał 2022 roku.

W tej wyjątkowej inwestycji na Białołęce tuż przy Centrum Handlowym Galeria Północna mieszkańcy będą mieli do dyspozycji 127 mieszkań o wysokości 2,70 m.

Dostępne będą tu najbardziej poszukiwane kawalerki, mieszkania dwu- i trzypokojowe oraz przestronne mieszkania czteropokojowe.

Bliskość linii autobusowych, tramwajowych, Trasy Mostu Północnego zapewni szybką i wygodną komunikację z centrum Warszawy.

Tuż przy powstającym Budynku znajduje się nowoczesne centrum handlowe Galeria Północna pełne sklepów w szerokim asortymencie pozwalające wygodnie zrobić codzienne zakupy.

Bliskość lasów miejskich, parków i rezerwatów zapewnia z kolei tak upragniony odpoczynek od codziennego zgiełku dużego miasta.
 
Całkowita powierzchnia mieszkania - 65,57m2 w tym:
- salon+aneks kuchenny 31,45 m2,
- pokój 11,10m2,
- pokój 10,10m2,
- łazienka 4,03m2,
- łazienka 2,94m2,
- hall 3,82m2,
- pow.śc.działowych 2,13m2,
- balkon 3,77m2.

Garaże : W inwestycji będą dostępne miejsca postojowe w cenie 36 900,00 PLN brutto za m2, oraz komórki lokatorskie w cenie 3996,00 PLN brutto za m2 .

LOKALIZACJA
===========
W najbliższej okolicy powstającego budynku znajduję się wszystko czego potrzeba w codziennym życiu m.in: apteka,przychodnia,sklepy,markety,kino,restauracje,szkoła,przedszkole,urząd dzielnicy Białołęka,Galeria Północna.

Komunikacja: Autobus 270 metrów, Tramwaj 400 metrów, Merto 4,5 km.

Odległość od Centrum: 14,1 km.

Posiadamy pakiety wykończeniowe w preferencyjnych cenach - zapraszam po szczegóły .

Nasi doradcy z POWER FINANCES pomogą w uzyskaniu najlepszego finansowania.
KONTAKT
========

Zachęcam do kontaktu, z przyjemnością odpowiem na wszelkie pytania, oraz zorganizuje prezentację w dogodnym dla Państwa terminie.

Anna Lisowska 
Tel: 577 284 769
E-mail: anna.lisowska@powerinvest.pl
Treść niniejsza ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.<br/><br/><i>Numer oferty w biurze: 17431/7649/OMS</i><br/>Lokalizacja: Mazowieckie, Warszawa, Białołęka<br/><br/>Ogłoszenie dodane za pomocą Trimo.pro</span></div>"|https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bialoleka/wyjatkowa-inwestycja-na-bialolece/1009010981460912107100009
3|"<span class=""myAdTitle"">5 pokoi z ogródkiem, nad Wisłą </span>"|"<div class=""description"" data-phone-mask=""false""><span class=""pre"" style=""font-family: inherit; white-space: pre-wrap;""><p>Bezpośrednio od dewelopera<br/>- brak prowizji 0%<br/>- brak podatku PCC 2%<br/><br/>Komfortowe dwupoziomowe mieszkanie 5 pokojowe z własnym ogródkiem oraz 2 miejscami postojowymi. Zamknięte osiedle w otulinie Nadwiślańskiego Parku Krajobrazowego oraz malowniczego Rezerwatu Przyrody Wysp Zawadowskich. Doskonale skomunikowane z bardzo dobrym dojazdem do centrum Warszawy (około 20 minut). W pobliżu znajduje się stacja SKM Warszawa Falenica, a także przystanki autobusowe linii 146, 213, 702, N73. W pobliżu węzeł Trasy Mostu Południowego, którym po oddaniu dojedziemy do sąsiedniego Wilanowa w zaledwie 5 minut a do Metra w mniej niż 10 min!<br/><br/>Mieszkanie o powierzchni 127 m2 składa się z:<br/>Poziom 1<br/>- salon z kuchnią (33,88 m2)<br/>- gabinet/sypialnia (10,69 m2)<br/>- spiżarnia/pralnia<br/>- łazienka/WC<br/>Poziom 2<br/>- sypialni (16,05 m2) z własną łazienką (4,48 m2) i balkonem<br/>- 2 sypialni (10,56 m2 oraz 11,11 m2)<br/>- łazienki (5,91 m2)<br/><br/>Do mieszkania przynależą 2 miejsca postojowe dodatkowo płatne po 10000 zł<br/><br/>W pobliżu pełna infrastruktura oraz wszystko co potrzebne do wygodnego życia: szkoły, przedszkola, dyskont spożywczy, kościół, galeria handlowa.<br/><br/>Zakończenie budowy IV kwartał 2022!<br/><br/>Zapraszam na prezentację<br/>Grzegorz Stopyra<br/>ALPHA NIERUCHOMOŚCI<br/>574 077 400</p></span></div>"|https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/wawer/5-pokoi-z-ogrodkiem-nad-wisla/1009010905100912778627109
4|"<span class=""myAdTitle"">2-pokojowe mieszkanie w sercu Powiśla, Orłowicza </span>"|"<div class=""description"" data-phone-mask=""false""><span class=""pre"" style=""font-family: inherit; white-space: pre-wrap;"">Na sprzedaż ekskluzywne mieszkanie dwupokojowe o powierzchni 49m2 w apartamentowcu znajdującym się w sercu Powiśla, przy ul. Orłowicza 12. Drugie piętro prestiżowej Rezydencji Orłowicza. <br/><br/>Apartament wykończony jest przy użyciu najwyższej jakości materiałów - gres w łazience, drewniany parkiet oraz elektryczny kominek z opcją ogrzewania w salonie. Okna wykonane z drewna, wychodzące na południowy-wschód - co zapewnia piękne, naturalne doświetlenie wnętrza. <br/>Mieszkanie jest w pełni umeblowane oraz wyposażone w wysokiej klasy sprzęt RTV/AGD. Dodatkowo zamontowana jest również klimatyzacja. Mieszkanie składa się z następujących pomieszczeń:<br/><br/>-salonu połączonego z aneksem kuchennym (ok. 30m2) i wyjściem na balkon (7m2) - bezpośredni widok na Park J. Porazińskiej;<br/><br/>-sypialni z łóżkiem małżeńskim (ok. 8 m2);<br/><br/>-łazienki z dużym, przeszklonym prysznicem (ok. 6m2);<br/><br/>-przedpokoju z dwoma szafami (ok. 6m2);<br/><br/>Aranżacja wnętrza wykonana jest luksusowo, za pomocą harmonijnego łączenia odpowiednich wzorów i kolorów oraz przykuwających wzrok dodatkowych elementów wyposażenia otrzymujemy funkcjonalny i komfortowy apartament w najlepszym możliwym punkcie na mapie stolicy. Klasyczna biel i szarość w zestawieniu z kontrastującym drewnem spełni wymagania wizualne najbardziej wymagających lokatorów. <br/><br/>Przestrzeń w salonie zorganizowana jest wokół sofy z fotelami oraz kominka, umieszczonych w centralnym punkcie tak, aby budować przytulną i relaksującą atmosferę. Taki układ podkreśla ciepło apartamentu oraz stwarza estetyczne centrum spotkań i rozmów. <br/><br/>Budynek zlokalizowany jest w bezpośrednim otoczeniu trzech parków, zachęcających do letnich spacerów po zielonej, cichej okolicy. Łazienki Królewskie w odległości 8 minut autobusem. <br/><br/>Powiśle- perełka na warszawskiej mapie, to dzielnica parków, zieleni, świetnego jedzenia, pysznej kawy, niszowych marek i ogrodów na dachu. Cicha i zielona okolica pozwala na spokojne, popołudniowe spacery o zachodzie słońca, przechadzkę po słynnych Bulwarach Wiślanych czy kolację w najlepszych warszawskich restauracjach. <br/><br/>Rezydencja Orłowicza od 2015r. wyróżnia się swoim reprezentacyjnym wyglądem, budynek ten jest monitorowany, z dostępną całodobową recepcją i ochroną. <br/><br/>Możliwość dodatkowego zakupu miejsca postojowego w garażu - 95 000zł. <br/><br/>Cena: 1 080 000zł<br/><br/>Serdecznie zapraszam na prezentację okazałej nieruchomości w wybranym terminie. <br/><br/><br/><br/><br/>Powyższa oferta nie stanowi oferty handlowej w rozumieniu art. 66 1 kodeksu cywilnego oraz innych właściwych przepisów prawnych. Informacje umieszczone w ofertach przekazywane są przez właścicieli nieruchomości i mogą ulegać zmianom. Staramy się, aby wszystkie oferty były jak najbardziej aktualne i odpowiadały stanowi rzeczywistemu.<br/><br/><i>Numer oferty w biurze: HS741885</i><br/>Lokalizacja: Mazowieckie, Warszawa, Śródmieście, Powiśle, Mieczysława Orłowicza<br/><br/>Ogłoszenie dodane za pomocą Trimo.pro</span></div>"|https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/srodmiescie/2+pokojowe-mieszkanie-w-sercu-powisla-orlowicza/1009011025060912794990009
5|"<span class=""myAdTitle"">APARTAMENT NAD WISŁA - do własnej aranżacji  </span>"|"<div class=""description"" data-phone-mask=""false""><span class=""pre"" style=""font-family: inherit; white-space: pre-wrap;""><p><b>Sprzedam BEZPOŚREDNIO OD WŁAŚCICIELA - NOWY APARTAMENT 3 pokojowy w nowej inwestycji - ZIELONE OSIEDLE - przy ul. </b><b>SPRAWNEJ 7E w Warszawie ( blisko ul. ALUZYJNEJ ) </b><b>o łącznej powierzchni 65m2 w STANIE\DEVELOPERSKIM<u>, </u>do własnej aranżacji.</b></p><p><b>Apartament usytuowany jest na II piętrze.</b></p><p><b>Mieszkanie<u> </u>DWUSTRONNE - widne, słoneczne - BARDZO DUŻE OKNA !!!</b></p><p><b>OGRZEWANIE PODŁOGOWE !!</b></p><p><b>NOWOCZESNY !!! rozkład pomieszczeń</b></p><p><b>CZYNSZ bardzo niski !!! - 200 zł/mc - dla zainteresowanych prześlę na maila </b><b>zawiadomienie</b><b> o wysokości czynszu z 12.2020 r.</b></p><p><b>ZESTAWIENIE POWIERZCHNI:</b></p><p><b>1. Salon z aneksem kuchennym - 36,64m2</b></p><p><b>2. Pokój - 13,19 m2</b></p><p><b>3. Pokój - 11,41 m2</b></p><p><b>4. Łazienka - 5,24m2</b></p><p><b>5. Balkon 3,90 m2</b></p><p><b>Osiedle MONITOROWANE, bezpieczne.</b></p><p><b>STRONY ŚWIATA – salon i jedna sypialnia: strona południowa, kuchnia i druga sypialnia: północno- zachodnia.</b></p><p><b>Piękna, zielona okolica, niedaleko od Wisły, gdzie można się zrelaksować i odpocząć od miejskiego gwaru.</b> <b>Bardzo dobra komunikacja – 5 min spacerem do nowej pętli tramwajowej - 20 min. do Metra Młociny.</b></p><p><b>CENA MIESZKANIA 480 000 zł - możliwa negocjacja ceny !!!</b></p><p><b>OGŁOSZENIE POCHODZI BEZPOŚREDNIO OD WŁAŚCICIELA MIESZKANIA !!! - jest już wpis do KW</b></p><p><b>W przypadku zainteresowania proszę o telefon 797 229 799</b></p><p><b>AGENCJOM DZIĘKUJĘ, proszę nie dzwonić !!!</b></p></span></div>"|https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bialoleka/apartament-nad-wisla-+-do-wlasnej-aranzacji/1009010976150910473269709
6|"<span class=""myAdTitle"">Wymarzony dom rodzinny 4-pokojowy z garażem </span>"|"<div class=""description"" data-phone-mask=""false""><span class=""pre"" style=""font-family: inherit; white-space: pre-wrap;"">BEZPOŚREDNIO OD DEWELOPERA, BEZ PODATKU PCC, 0% PROWIZJI 
Posiadamy również inne mieszkania w tej inwestycji 
 
Zapraszamy Państwa do zapoznania się z naszą ofertą 
 
Atuty: 
- kameralna inwestycja 
- prestiżowa okolica 
- funkcjonalne wnętrza 
- teren zamknięty, chroniony 
 
Propozycja skierowana dla wszystkich z Państwa którzy ceną sobie bliskość tętniącego życiem miasta oraz odpoczynek w spokojnej i kameralnej okolicy. Osiedle zlokalizowane jest zaledwie 7 km od granicy Warszawy, 17 km do ścisłego centrum. Bezpośrednio przy bramie osiedla znajduje się przystanek linii autobusowej. 
 
Dom jest dwukondygnacyjny z garażem oraz pomieszczeniem gospodarczym. Na parterze przeszklony salon połączony z jadalnią i kuchnią z wyjściem na taras, łazienka, na piętrze znajdziemy trzy sypialnie, łazienkę, garderobę oraz hol. Wykończenie domu jest klasyczne, aczkolwiek bardzo eleganckie. 
To doskonała propozycja dla wymagających klientów! 
 
Dodatkowe informacje: 
- forma własności gruntu: własność 
 - INWESTYCJA ZREALIZOWANA! 
 
 Cena domu 4 pokojowego: 838 794 PLN 
 
Zapraszamy do kontaktu i na prezentacje 
Premium Estates 
Agent prowadzący: Maryla 
tel: 570-400-282 
e-mail: maryla@premium-estates.pl<br/><br/><i>Numer oferty w biurze: DKW-DS-79198-3</i><br/>Lokalizacja: Mazowieckie, Warszawski zachodni, Ożarów Mazowiecki<br/><br/>Ogłoszenie dodane za pomocą Trimo.pro</span></div>"|https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/ozarow-mazowiecki/wymarzony-dom-rodzinny-4+pokojowy-z-garazem/1009010981840911437600009
7|"<span class=""myAdTitle"">Dobra komunikacja: kolej miejska, blisko centrum </span>"|"<div class=""description"" data-phone-mask=""false""><span class=""pre"" style=""font-family: inherit; white-space: pre-wrap;"">Atrakcyjna lokalizacja, blisko centrum. <br/>Dobra komunikacja w każdym kierunku. Mieszkanie do odbioru jeszcze w tym roku \""21.<br/><br/>Mieszkanie składa sie z:<br/>- salonu z aneksem kuchennym 23 m2<br/>- sypialnia główna 12 m2 <br/>- pokój 10 m2<br/>- przedpokój 8 m2 <br/>- łazienka 5 m2<br/>- wc 1,5 ( może służwyć jako garderoba)<br/>- balkon 5 m2<br/><br/>Możliwość zakupu miejsca postojowego, dodatkowo płatne. <br/><br/>Lokalizacja:<br/><br/>- 300 m do Stacji PKP KM i SKM, w bliskiej odległości znajduje się również Dworzec Zachodni. <br/>- liczne autobusy <br/><br/>- Liczne sklepy oraz inne usługi<br/>- Do okola dużo terenów zielonych oraz strefa biurowa. <br/><br/>Udogodnienia:<br/><br/>- Możliwe kredytowanie i ułatwienie całego procesu zakupu. <br/>- Oferujemy wykończenie pod klucz w najwyższym standardzie <br/>- Wysoki standard części wspólnych <br/>- Hala garażowa umiejscowiona pod budynkiem.<br/><br/>Zapraszam do oglądania<br/>Krzysztof Konończuk <br/>tel. 537 782 102<br/>krzysztof.kononczuk@housestandard.pl<br/><br/><br/>Powyższa oferta nie stanowi oferty handlowej w rozumieniu art. 66 1 kodeksu cywilnego oraz innych właściwych przepisów prawnych. Informacje umieszczone w ofertach przekazywane są przez właścicieli nieruchomości i mogą ulegać zmianom. Staramy się, aby wszystkie oferty były jak najbardziej aktualne i odpowiadały stanowi rzeczywistemu.<br/><br/><i>Numer oferty w biurze: HS395574</i><br/>Lokalizacja: Mazowieckie, Warszawa, Włochy<br/><br/>Ogłoszenie dodane za pomocą Trimo.pro</span></div>"|https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/wlochy/dobra-komunikacja-kolej-miejska-blisko-centrum/1009010991690912794990009
8|"<span class=""myAdTitle"">Nowoczesny apartamentowiec na Tarchominie </span>"|"<div class=""description"" data-phone-mask=""false""><span class=""pre"" style=""font-family: inherit; white-space: pre-wrap;"">BEZPOŚREDNIO OD DEWELOPERA, 0% PROWIZJI 
 
Posiadamy również inne mieszkania w tej inwestycji 
 
Zapraszamy Państwa do zapoznania się z naszą ofertą 
 
 
 Atuty: 
 
- zielone otoczenie 
- dobra komunikacja do centrum 
- sprawdzony deweloper 
- wyjątkowa architektura 
- dynamiczny rozwój dzielnicy 
- bogata infrastruktura komunikacyjna i handlowo-usługowa (blisko basen) 
- funkcjonalne wnętrza, wysoki standard wykończenia 
 
Inwestycja znajduje się w pięknej części Tarchomina, świetnie zagospodarowanej. Inwestycja skierowana zarówno dla singli jak i rodzin z dziećmi. Dla osób ceniących bliskość zieleni i natury. Proponujemy ciekawe rozwiązania architektoniczne, jak również doskonałą lokalizację z dobrym dojazdem do innych dzielnic Warszawy. 
Mieszkania w najbardziej pożądanych metrażach, z balkonami oraz garażem podziemnym i komórkami lokatorskimi. W niewielkiej odległości można znaleźć wiele miejsc umożliwiających aktywny wypoczynek i uprawianie sportów (obok basen). Architektura budynku i bardzo duże okna zapewnią doskonałe doświetlenie i zaspokojenie najwybredniejszych gustów. 
 
 
 Informacje dodatkowe: 
 
- miejsce postojowe w garażu podziemnym: 34 000 PLN 
- komórka lokatorska 6 800 PLN / m2 
 
- termin realizacji inwestycji I Q 2022. 
 
Cena mieszkania 4-pokojowego 71m2 z balkonem 10m2 - 605 250 PLN 
 
 
 
Zapraszamy do kontaktu i na prezentacje 
Premium Estates 
 
Agent prowadzący: Maryla 
 
tel: 570-400-282 
 
e-mail: maryla@premium-estates.pl<br/><br/><i>Numer oferty w biurze: DKW-MS-83071</i><br/>Lokalizacja: Mazowieckie, Warszawa, Białołęka, Tarchomin<br/><br/>Ogłoszenie dodane za pomocą Trimo.pro</span></div>"|https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bialoleka/nowoczesny-apartamentowiec-na-tarchominie/1009010937780911437600009
9|"<span class=""myAdTitle"">Widokowy 3-pok. apartament na Woli </span>"|"<div class=""description"" data-phone-mask=""false""><span class=""pre"" style=""font-family: inherit; white-space: pre-wrap;"">0% PROWIZJI OD KUPUJĄCEGO. BEZ PODATKU PCC. 
POSIADAMY W OFERCIE RÓWNIEŻ INNE MIESZKANIA W TEJ INWESTYCJI 
 
Zapraszamy Państwa do zapoznania się z ofertą sprzedaży mieszkań w nowej inwestycji na warszawskiej Woli! 
 
 ATUTY: 
 
 
 Na terenie osiedla znajdować się będzie Central Park z boiskami do gry w piłkę, samoobsługowa pralnia oraz klub fitness 
 Nad bezpieczeństwem mieszkańców będzie czuwać całodobowa ochrona oraz monitoring 
 Osiedle powstaje na warszawskiej Woli - w jednej z najbardziej atrakcyjnych dzielnic Warszawy ze względu na położenie. 
 Bardzo dobry dojazd w każdą część miasta, szybki rozwój oraz biznesowy charakter 
 
 
 LOKALIZACJA: 
3 minuty zajmie Ci jazda rowerem do Parku im. E. Szymańskiego czy Parku Sowińskiego. 
5 minut Twojemu dziecku na dotarcie do Szkoły Podstawowej nr 132. 
6 minut zajmie Ci dojazd do Urzędu Dzielnicy Wola. 
7 minut zajmie Ci odwiezienie dziecka do Przedszkola nr 74. 
9 minut potrzebujesz, by dojechać rowerem do odkrytych basenów w Parku Moczydło. 
10 minut pochłonie dojazd autem do centrów handlowych: Wola Park, Reduta czy Blue City. 
15 minut to czas potrzebny na dojazd komunikacją miejską z przystanku Ordona do Centrum. 
 
 APARTAMENT: 
 
Prezentowany apartament, to 2 pokojowe mieszkanie z garderobą o powierzchni 61,72m2 mieszczące się na 11 piętrze w 27 piętrowym budynku. Wysokość pomieszczeń: 2,85m 
Do mieszkania przynależy widokowa loggia 
 
 OPIS INWESTYCJI: 
To wyjątkowy projekt, atrakcyjny zarówno pod względem lokalizacji, jak i koncepcji. Zakłada stworzenie przyjaznej przestrzeni miejskiej dającej swoim mieszkańcom zarówno dostęp do lokali usługowo-handlowych, przedszkola jak i terenów sportowo-rekreacyjnych umiejscowionych na terenie osiedla. Projekt stawia na nowoczesność i funkcjonalność. Duże drewniane okna, obszerne balkony i tarasy oraz pokaźne przeszklenia elewacji nadają bryle budynku lekkości. Zadbano również o możliwości integracyjne mieszkańców. 
 
Osiedle zostało zaprojektowane z myślą o wygodzie mieszkańców ale również w TROSCE O ŚRODOWISKO. Zastosowane proekologiczne rozwiązania przyczynią się do istotnego zmniejszenia opłat czynszowych: 
 
- Zespoły nawiewno-wyciągowe z odzyskiem ciepła -posłużą do wentylacji powierzchni wspólnych 
- Wody deszczowe odprowadzane z osiedla podzielono na dwa odrębne strumienie: 
1. zanieczyszczone wody opadowe będą bezpośrednio odprowadzane do miejskiej kanalizacji ogólno spławnej 
2. czysta woda spływająca z dachów i terenów zielonych kierowana będzie do wewnętrzną kanalizacją do zbiornika na terenie osiedla - wody te zostaną ponownie wykorzystane do pielęgnacji części zielonych 
 
 Termin realizacji obiektu: III kwartał 2021 
 
Cena apartamentu: 715 952 PLN 
 
 W celu poznania szczegółów lub innych ofert z tej inwestycji zapraszam do kontaktu: 
 
 Premium Estates 
 Agent prowadzący: Maryla 
 tel: 570-400-282 
 e-mail: maryla@premium-estates.pl<br/><br/><i>Numer oferty w biurze: DKW-MS-79203-12</i><br/>Lokalizacja: Mazowieckie, Warszawa, Wola<br/><br/>Ogłoszenie dodane za pomocą Trimo.pro</span></div>"|https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/wola/widokowy-3+pok-apartament-na-woli/1009010937580911437600009
